experiment,param_val,bf_ms,kd_build_ms,kd_ms,bf_found,kd_found
vary_n,1000,0.420632,8.45383,0.0169627,0,0
vary_n,5000,1.47331,42.0204,0.0262547,0,0
vary_n,10000,2.96515,101.309,0.0381427,0,0
vary_n,50000,15.6034,657.23,0.086108,0,0
vary_n,100000,31.8362,1660.63,0.118521,0,0
vary_d,4,0.9739,89.1587,0.034676,22.08,22.08
vary_d,8,1.35149,86.1688,0.0316227,0,0
vary_d,16,2.63145,89.7761,0.03318,0,0
vary_d,32,5.57249,103.004,0.0709707,0,0
vary_d,64,10.9501,132.383,0.146271,0,0
vary_d,128,22.2614,133.111,0.173411,0,0
vary_r,0.5,2.38404,90.1484,0.00956,0,0
vary_r,1.5,2.93975,110.646,0.0487293,0,0
vary_r,3,2.73823,103.007,0.406617,0,0
