label,n,greedy_value,brute_value,dp_value,greedy_ms,brute_ms,dp_linear_ms,dp_binary_ms
example,6,220,250,250,0.003956,0.019629,0.067242,0.000904
counterexample,6,50,190,190,0.004903,0.021897,0.002788,0.000823
small_10,10,373,373,373,0.004109,0.400194,0.002788,0.001347
small_15,15,244,303,303,0.005979,17.3382,0.004385,0.002653
small_20,20,466,537,537,0.006759,393.84,0.005213,0.003357
medium_50,50,613,-1,703,0.006643,-1,0.006271,0.005542
medium_100,100,1133,-1,1221,0.017433,-1,0.01128,0.010943
medium_200,200,1478,-1,1791,0.032097,-1,0.038776,0.040669
large_500,500,2306,-1,2972,0.096941,-1,0.151536,0.130585
large_1000,1000,2405,-1,3266,0.109444,-1,0.310449,0.163225
large_2000,2000,3370,-1,4798,0.317534,-1,0.805412,0.727901
